Component Name,Quantity,Price,Total Componet Cost,Total Cost
12V to 220V 35W DC AC Boost Inverter Module Dual Channel Inverse Converter,1,217,217,
ACS712 30A Current Sensor Module,1,80,80,
25V Voltage Detection Sensor Module,1,20,20,
I2C ADS1115 16 Bit ADC 4 channel Module with Programmable Gain Amplifier,1,136,136,
LCD1602 Parallel LCD Display with IIC/I2C interface,1,177,177,
Relay Output 1 way Relay Module 5V Low Level Trigger with Optocoupler,2,76,152,
SIM800L GPRS GSM Module Core Board Quad-band TTL Serial Port with the antenna,1,261,261,
ESP32 38pin,1,500,500,
Capacitor 2200uf,1,35,35,
Mini MP1584 DC-DC 3A Adjustable Buck Module,2,44,88,
4 Channel IIC I2C Logic Level Bi-Directional Module Converter Module 5V to 3.3V,1,16,16,
Solar Panel 12v 20w,1,1500,1500,
SG Flash 20A Intelligent Battery Regulator for Panel LCD Display with USB 12V/24V PWM PWM Solar Charge Controller,1,500,500,
12v lead acid battery,1,1000,1000,
,,,,4682
